Date,Close,Mahadasha,Antardasha,SMI_Base,Tithi,Nakshatra,Nithya_Yoga,Aspect_Mars_Saturn,Aspect_Jup_Sun,Aspect_Rahu_Mars,Vedha_Score,Sun_Deg,Sun_Speed,Moon_Deg,Moon_Speed,Mercury_Deg,Mercury_Speed,Venus_Deg,Venus_Speed,Mars_Deg,Mars_Speed,Jupiter_Deg,Jupiter_Speed,Saturn_Deg,Saturn_Speed,Uranus_Deg,Uranus_Speed,Neptune_Deg,Neptune_Speed,Pluto_Deg,Pluto_Speed,True_Node_Deg,True_Node_Speed,Lilith_Deg,Lilith_Speed,Ketu_Deg,Ketu_Speed
1998-12-22,5.74,Moon,Mercury,1.85,4,22,14,0,3,0,1,246.587,1.0187,287.781,12.9243,225.183,1.1348,259.627,1.255,169.729,0.5176,326.819,0.1227,2.975,-0.0133,286.642,0.0478,276.887,0.0337,224.933,0.037,119.423,-0.0283,193.302,0.184,299.423,0
1998-12-23,5.86,Moon,Mercury,2.05,5,23,15,0,0,0,1,247.606,1.0187,300.807,13.1323,226.34,1.1786,260.882,1.2549,170.246,0.5154,326.943,0.1254,2.963,-0.0115,286.69,0.0483,276.921,0.034,224.97,0.0368,119.411,0.0026,193.487,0.1872,299.411,0
1998-12-24,5.83,Moon,Mercury,2.05,6,24,16,0,0,0,1,248.624,1.0188,314.055,13.3678,227.538,1.2171,262.136,1.2547,170.76,0.5131,327.07,0.128,2.953,-0.0096,286.739,0.0488,276.955,0.0343,225.006,0.0366,119.423,0.0194,193.676,0.1903,299.423,0
1998-12-28,5.79,Moon,Mercury,2.0,10,1,20,0,0,0,1,252.7,1.0188,9.72,14.4629,232.652,1.3308,267.154,1.2541,172.794,0.5037,327.602,0.138,2.929,-0.0022,286.937,0.0505,277.094,0.0352,225.151,0.0357,119.384,-0.0712,194.46,0.2015,299.384,0
1998-12-29,5.85,Moon,Mercury,4.0,11,2,21,2,0,0,1,253.718,1.0188,24.289,14.6617,233.994,1.3517,268.408,1.2539,173.296,0.5013,327.741,0.1405,2.928,-0.0003,286.988,0.051,277.129,0.0354,225.186,0.0354,119.299,-0.096,194.663,0.204,299.299,0
1998-12-30,5.76,Moon,Mercury,4.05,13,3,23,2,0,0,1,254.737,1.0188,39.011,14.7624,235.355,1.3704,269.662,1.2538,173.797,0.4988,327.883,0.1428,2.928,0.0015,287.039,0.0514,277.165,0.0356,225.222,0.0351,119.195,-0.11,194.868,0.2063,299.195,0
1998-12-31,5.76,Moon,Mercury,4.05,14,5,24,2,0,0,1,255.756,1.0188,53.772,14.7384,236.734,1.3873,270.916,1.2536,174.294,0.4963,328.027,0.1452,2.931,0.0034,287.091,0.0518,277.201,0.0358,225.257,0.0349,119.081,-0.1161,195.076,0.2085,299.081,0
1999-01-04,5.75,Moon,Mercury,6.5,18,9,1,2,0,0,1,259.831,1.0188,110.76,13.529,242.397,1.4411,275.929,1.2529,176.259,0.4859,328.626,0.1543,2.959,0.0108,287.301,0.0533,277.345,0.0365,225.394,0.0337,118.769,-0.0164,195.925,0.2158,298.769,0
1999-01-05,5.72,Moon,Mercury,4.1,19,10,2,2,0,0,1,260.85,1.0189,124.08,13.1122,243.844,1.4521,277.181,1.2528,176.743,0.4831,328.782,0.1565,2.971,0.0126,287.354,0.0536,277.382,0.0367,225.427,0.0334,118.767,0.0095,196.141,0.2173,298.767,0
1999-01-06,5.91,Moon,Mercury,4.1,20,11,3,2,0,0,1,261.869,1.0189,136.995,12.7254,245.301,1.4625,278.434,1.2526,177.225,0.4803,328.939,0.1587,2.984,0.0145,287.408,0.0539,277.419,0.0368,225.461,0.0331,118.786,0.0268,196.359,0.2186,298.786,0
1999-01-07,5.88,Moon,Mercury,4.1,21,12,4,2,0,0,1,262.888,1.019,149.549,12.3947,246.768,1.4723,279.687,1.2525,177.704,0.4774,329.099,0.1609,3.0,0.0163,287.462,0.0543,277.455,0.0369,225.494,0.0328,118.816,0.0307,196.579,0.2199,298.816,0
1999-01-08,5.91,Moon,Mercury,3.95,22,13,5,2,0,0,2,263.907,1.019,161.809,12.137,248.245,1.4816,280.939,1.2523,178.18,0.4745,329.261,0.163,3.017,0.0181,287.517,0.0546,277.492,0.0371,225.526,0.0325,118.842,0.0198,196.799,0.2211,298.842,0
1999-01-11,5.8,Moon,Mercury,4.15,25,15,8,2,0,0,2,266.964,1.019,197.615,11.8569,252.73,1.508,284.695,1.2518,179.589,0.4651,329.759,0.1692,3.079,0.0237,287.682,0.0554,277.604,0.0374,225.622,0.0314,118.81,-0.0458,197.467,0.224,298.81,0
1999-01-12,5.71,Moon,Mercury,4.15,26,16,9,2,0,0,2,267.983,1.019,209.497,11.9182,254.243,1.5165,285.947,1.2516,180.053,0.4619,329.93,0.1712,3.104,0.0255,287.737,0.0557,277.642,0.0375,225.653,0.0311,118.751,-0.0706,197.691,0.2249,298.751,0
1999-01-13,5.62,Moon,Mercury,4.2,27,17,10,2,0,0,2,269.002,1.019,221.472,12.0418,255.763,1.5249,287.198,1.2514,180.513,0.4585,330.102,0.1732,3.13,0.0273,287.793,0.0559,277.679,0.0376,225.684,0.0307,118.672,-0.0861,197.917,0.2257,298.672,0
1999-01-14,5.52,Moon,Mercury,4.2,27,18,11,2,0,0,2,270.021,1.0189,233.597,12.2146,257.292,1.5332,288.45,1.2512,180.97,0.4551,330.276,0.1751,3.159,0.0291,287.849,0.0562,277.717,0.0377,225.715,0.0303,118.584,-0.0876,198.143,0.2265,298.584,0
1999-01-15,5.6,Moon,Mercury,4.0,28,19,12,2,0,0,2,271.04,1.0188,245.913,12.4219,258.83,1.5416,289.701,1.2509,181.423,0.4516,330.452,0.177,3.189,0.0309,287.905,0.0564,277.755,0.0377,225.745,0.0299,118.5,-0.0797,198.37,0.2272,298.5,0
1999-01-19,5.6,Moon,Mercury,3.85,2,23,16,2,0,0,1,275.114,1.0183,297.421,13.3204,265.064,1.5761,294.702,1.2499,183.2,0.4368,331.175,0.1844,3.327,0.0381,288.133,0.0572,277.906,0.0379,225.861,0.0283,118.321,-0.0013,199.284,0.2299,298.321,0
1999-01-20,5.56,Moon,Mercury,4.05,3,24,18,2,0,0,1,276.132,1.0181,310.842,13.5171,266.645,1.5851,295.952,1.2496,183.635,0.4329,331.36,0.1861,3.366,0.0398,288.19,0.0574,277.944,0.038,225.889,0.0279,118.328,0.0146,199.514,0.2305,298.328,0
1999-01-21,5.6,Moon,Mercury,4.05,4,25,19,2,0,0,1,277.15,1.0178,324.45,13.6969,268.235,1.5943,297.201,1.2492,184.066,0.4289,331.547,0.1878,3.406,0.0416,288.247,0.0575,277.982,0.0381,225.917,0.0275,118.348,0.0243,199.745,0.231,298.348,0
1999-01-22,5.57,Moon,Mercury,4.1,6,26,20,2,0,0,1,278.168,1.0176,338.23,13.8601,269.834,1.6037,298.451,1.2489,184.493,0.4248,331.736,0.1895,3.449,0.0433,288.305,0.0576,278.02,0.0373,225.944,0.027,118.375,0.0268,199.976,0.2315,298.375,0
1999-01-25,5.56,Moon,Mercury,4.0,9,2,23,2,0,0,1,281.219,1.0167,20.417,14.2275,274.689,1.6334,302.195,1.2477,185.749,0.4122,332.312,0.1944,3.586,0.0484,288.478,0.058,278.134,0.0379,226.023,0.0257,118.403,-0.013,200.673,0.2327,298.403,0
1999-01-26,5.51,Moon,Mercury,4.05,10,3,24,2,0,0,1,282.236,1.0164,34.677,14.2838,276.328,1.6438,303.443,1.2472,186.159,0.4079,332.507,0.1959,3.636,0.0501,288.536,0.058,278.171,0.0379,226.049,0.0252,118.385,-0.0215,200.905,0.2329,298.385,0
1999-01-27,5.41,Moon,Mercury,4.05,11,4,25,2,0,0,1,283.252,1.0161,48.967,14.2869,277.977,1.6544,304.69,1.2468,186.564,0.4034,332.703,0.1974,3.687,0.0517,288.595,0.0581,278.209,0.0378,226.074,0.0248,118.361,-0.0268,201.139,0.2331,298.361,0
1999-01-28,5.38,Moon,Mercury,3.85,12,5,27,2,0,0,1,284.268,1.0158,63.229,14.2252,279.637,1.6653,305.936,1.2463,186.966,0.3989,332.902,0.1989,3.739,0.0534,288.653,0.0582,278.247,0.0378,226.098,0.0243,118.332,-0.0314,201.372,0.2332,298.332,0
1999-01-29,5.38,Moon,Mercury,3.85,13,6,1,2,0,0,1,285.284,1.0155,77.394,14.0929,281.307,1.6765,307.182,1.2459,187.362,0.3943,333.101,0.2004,3.793,0.055,288.711,0.0582,278.285,0.0377,226.122,0.0238,118.3,-0.0306,201.605,0.2332,298.3,0
