Threshold  | Precision  | Recall     | Count     
12         | 10.16%     | 24.22%     | 305
14         | 12.15%     | 20.31%     | 214
16         | 12.34%     | 14.84%     | 154
18         | 12.04%     | 10.16%     | 108
20         | 7.58%     | 3.91%     | 66
22         | 4.35%     | 1.56%     | 46
24         | 0.00%     | 0.00%     | 22
26         | 0.00%     | 0.00%     | 12
28         | 0.00%     | 0.00%     | 8
30         | 0.00%     | 0.00%     | 5
32         | 0.00%     | 0.00%     | 4
34         | 0.00%     | 0.00%     | 3
36         | 0.00%     | 0.00%     | 2
38         | 0.00%     | 0.00%     | 1
40         | N/A        | 0.00%      | 0
