Date,Predicted_Direction,Up_Probability,Sniper_Alert_Probability,SMI_Base,Nakshatra,Tithi
2026-06-05,UP,0.5017,0.0495,13.762,22,20
2026-06-06,DOWN,0.4995,0.0494,13.816,23,21
2026-06-07,DOWN,0.4987,0.0406,13.869,24,22
2026-06-08,DOWN,0.4988,0.0339,13.92,25,23
2026-06-09,DOWN,0.4948,0.0339,13.971,26,24
2026-06-10,DOWN,0.4983,0.0439,14.02,27,25
2026-06-11,DOWN,0.4852,0.0531,14.068,1,26
2026-06-12,DOWN,0.488,0.0531,14.115,2,27
2026-06-13,DOWN,0.4938,0.039,14.161,3,29
2026-06-14,DOWN,0.498,0.0391,14.205,4,30
2026-06-15,DOWN,0.493,0.0492,14.248,5,1
2026-06-16,UP,0.5087,0.0511,14.29,7,2
2026-06-17,UP,0.5035,0.0511,14.331,8,3
2026-06-18,UP,0.5153,0.0506,14.37,9,4
2026-06-19,UP,0.5174,0.0506,14.408,10,6
