Date,Predicted_Direction,Up_Probability,Sniper_Alert_Probability,Silver_SMI,Nakshatra,Tithi
2026-06-05,DOWN,0.4617,0.1321,1.748,22,20
2026-06-06,DOWN,0.4581,0.1313,2.042,23,21
2026-06-07,DOWN,0.4667,0.1339,2.552,24,22
2026-06-08,DOWN,0.4706,0.1325,3.266,25,23
2026-06-09,DOWN,0.4677,0.1312,4.159,26,24
2026-06-10,DOWN,0.462,0.1343,5.196,27,25
2026-06-11,DOWN,0.4557,0.134,6.32,1,26
2026-06-12,DOWN,0.4634,0.1326,7.458,2,27
2026-06-13,DOWN,0.4744,0.1283,8.517,3,29
2026-06-14,DOWN,0.4822,0.1261,9.399,4,30
2026-06-15,DOWN,0.4787,0.1248,10.018,5,1
2026-06-16,DOWN,0.4625,0.1331,10.317,7,2
2026-06-17,DOWN,0.4632,0.1318,10.278,8,3
2026-06-18,DOWN,0.4641,0.1299,9.923,9,4
2026-06-19,DOWN,0.4631,0.1299,9.296,10,6
